"uid","浏览量","点赞量","观看作者数","观看作品数","观看作品平均时长","观看配乐数","完整观看数","去过的城市数","观看作品城市数"
0,34,0,31,34,12.0588235294118,31,18,1,28
1,28,1,28,28,12.3571428571429,26,14,1,25
2,56,0,56,56,10.3571428571429,47,19,3,45
3,117,1,116,117,9.98290598290598,89,60,1,76
4,123,0,117,123,10.8536585365854,94,77,1,84
5,23,0,23,23,13.695652173913,23,19,1,22
6,63,0,55,63,10.6666666666667,62,31,3,41
7,63,0,61,63,12.1111111111111,56,6,3,53
8,113,0,103,113,10.6814159292035,101,48,1,63
9,8,0,8,8,8.5,8,5,1,8
10,263,1,199,263,11.1444866920152,182,75,1,87
11,22,0,20,22,13.2272727272727,20,11,1,16
12,112,0,111,112,10.2678571428571,105,67,1,65
13,39,0,37,39,10.8717948717949,34,19,1,32
14,107,0,107,107,11.5420560747664,86,43,1,77
15,100,0,98,100,10.9,84,44,3,73
16,41,0,37,41,14.1463414634146,39,17,1,30
17,9,0,9,9,12.2222222222222,9,3,1,9
18,165,1,158,165,11.3272727272727,111,31,1,25
19,18,0,18,18,12.5,17,4,1,17
20,27,0,27,27,9.33333333333333,26,20,1,22
21,29,0,29,29,13.4827586206897,27,14,1,27
22,192,0,184,192,11.9270833333333,155,111,1,105
23,62,0,60,62,9.88709677419355,52,16,2,46
24,29,0,29,29,9.62068965517241,28,6,3,26
25,33,0,33,33,10.1212121212121,30,11,1,28
26,11,0,10,11,10.8181818181818,11,6,1,9
27,44,0,44,44,10.9772727272727,44,22,1,38
28,190,0,180,190,11.4157894736842,166,54,2,88
29,47,0,47,47,10.3829787234043,46,12,2,40
30,51,0,50,51,11.843137254902,42,14,1,43
31,11,0,11,11,8.90909090909091,10,2,1,11
32,73,0,72,73,10.8904109589041,66,44,2,53
33,45,0,45,45,10.5111111111111,41,26,1,36
34,65,0,64,65,11.3384615384615,60,9,1,47
35,18,0,18,18,13.8888888888889,17,11,1,16
36,19,0,19,19,11.4736842105263,18,7,1,14
37,110,9,107,110,11.0727272727273,93,41,1,78
38,268,0,247,268,10.6641791044776,230,67,2,80
39,53,0,51,53,11.1509433962264,48,10,1,37
40,98,2,97,98,12.1122448979592,83,29,1,74
41,49,0,49,49,10.0408163265306,43,9,1,39
42,96,0,86,96,10.46875,80,32,1,56
43,199,50,196,199,10.8994974874372,170,48,3,93
44,65,0,65,65,10.3384615384615,59,28,1,48
45,28,0,28,28,12.3571428571429,26,14,1,28
46,118,0,116,118,10.2542372881356,94,49,1,73
47,118,0,109,118,11.1016949152542,93,44,1,67
48,182,0,180,182,11.3461538461538,150,85,1,107
49,50,0,49,50,11.42,44,6,1,36
50,7,0,7,7,8.42857142857143,7,3,1,6
51,142,0,118,142,12.3169014084507,121,33,1,79
52,147,0,142,147,11.3265306122449,123,19,1,80
53,450,1,388,450,11.1444444444444,333,127,1,151
54,156,1,150,156,10.6923076923077,125,35,1,84
55,11,0,11,11,12.9090909090909,11,3,2,11
56,34,0,34,34,11.1470588235294,34,18,1,32
57,54,0,47,54,11.2407407407407,52,14,1,33
58,3,0,3,3,13.6666666666667,3,3,1,3
59,226,0,211,226,11.2610619469027,189,108,1,106
60,36,0,36,36,9.94444444444444,35,13,1,29
